"8 Ball (Williams 1966) 1.3.1","8 Ball","Williams","1966",""
"Addams Family (Bally 1992) 2.4.41","Addams Family","Bally","1992","taf_l7"
"Adventures of Rocky and Bullwinkle and Friends (Data East 1993) v1.06","Adventures of Rocky and Bullwinkle and Friends","Data East","1993","rab_320"
"Ali (Stern 1980) v1.09","Ali","Stern","1980","ali"
"Attack from Mars (Bally 1995) g5k 1.3.11","Attack from Mars","Bally","1995","afm_113b"
"Back To The Future (Data East 1990)","Back to the Future","Data East","1990","bttf_a27"
"Barracora (Williams 1981) w VR Room v2.1.3","Barracora","Williams","1981","barra_l1"
"Black Knight (Williams 1980)","Black Knight","Williams","1980","bk_l4"
"Black Knight 2000 (Williams 1989) w VR Room v2.0.2","Black Knight 2000","Williams","1989","bk2k_l4"
"Black Rose (Bally 1992) VPW v1.4","Black Rose","Bally","1992","br_l4"
"Breakshot (Capcom 1996) VPW v1.1","Breakshot","Capcom","1996","bsv103"
"Cactus Canyon (Bally 1998) VPW 1.1","Cactus Canyon","Bally","1998","cc_13"
"Capersville (Bally 1966)","Capersville","Bally","1966",""
"Capt. Fantastic and The Brown Dirt Cowboy (Bally 1976) 2.0.2","Capt. Fantastic and The Brown Dirt Cowboy","Bally","1976",""
"Card Whiz (Gottlieb 1976)","Card Whiz aka Royal Flush","Gottlieb","1976",""
"Centigrade 37 (Gottlieb 1977)","Centigrade 37","Gottlieb","1977",""
"Champion Pub (Williams 1998) v1.43","Champion Pub","Williams","1998","cp_16"
"Cheetah (Stern 1980) FrankEnstein 1.0.2","Cheetah","Stern","1980","cheetah2"
"Cirqus Voltaire (Bally 1997) VPW Mod v1.1","Cirqus Voltaire","Bally","1997","cv_20h"
"Congo (Williams 1995)_VPW_V1.0","Congo","Williams","1995","congo_21"
"Creature From The Black Lagoon (Bally 1992) 1.2","Creature from the Black Lagoon","Bally","1992","cftbl_l4"
"Cue Ball Wizard (Gottlieb 1992) v1.2.4","Cue Ball Wizard","Gottlieb","1992","cueball"
"Diner (Williams 1990) VPW Mod 1.0.2","Diner","Williams","1990","diner_l4"
"Dr. Dude (Bally 1990)v3.0","Dr. Dude & His Excellent Ray","Bally","1990","dd_l2"
"Dracula (Stern 1979)","Dracula","Stern","1979","dracula"
"Earthshaker (Williams 1989) VPW 1.1","Earthshaker","Williams","1989","esha_la3"
"Eight Ball Deluxe (Bally 1981)","Eight Ball Deluxe","Bally","1981","eballdlx"
"El Dorado (Gottlieb 1975)_Teisen_MOD","El Dorado","Gottlieb","1975",""
"Elvira and the Party Monsters (Bally 1989) re-vamped 1.6 (lipebello Mod)","Elvira and the Party Monsters","Bally","1989","eatpm_l4"
"Elvis_MOD_2.0","Elvis","Stern","2004","elvis"
"Fathom (Bally 1981) FrankEnstein 3.0.1","Fathom","Bally","1981","fathom"
"Fireball VPX v1.1 - pinball58","Fireball","Bally","1972",""
"Fish Tales (Williams 1992) VPW 1.1","Fish Tales","Williams","1992","ft_l5"
"Flash (Williams 1979)","Flash","Williams","1979","flash_l1"
"Flash Gordon (Bally 1981) 2.0.2","Flash Gordon","Bally","1981","flashgdn"
"Four Million B.C. (Bally 1971)","Four Million B.C.","Bally","1971",""
"Getaway_(Williams 1992)_mod_1.0","Getaway: High Speed II","Williams","1992","gw_l5"
"Gigi (Gottlieb 1963) 1.2","Gigi","Gottlieb","1963",""
"Gorgar (Williams 1979) v.2.0","Gorgar","Williams","1979","grgar_l1"
"Guns N Roses (Data East 1994) VPW 1.2","Guns N' Roses","Data East","1994","gnr_300"
"Harlem Globetrotters (Bally 1979) VPW 1.0","Harlem Globetrotters on Tour","Bally","1979","hglbtrtr"
"Haunted House (Gottlieb 1982) VPW 2.1","Haunted House","Gottlieb","1982","hh"
"Heat Wave (Williams 1964)","Heat Wave","Williams","1964",""
"High_Speed_(Williams 1986) v0.107a","High Speed","Williams","1986","hs_l4"
"Hot Line (Williams 1966) SG1bsoN","Hot Line","Williams","1966",""
